Dt,weight
4310.326,5.29044050138629e-07
4270.083,1.019831541406313e-06
4272.081,5.738205289757148e-07
4272.265,1.0080270818790084e-06
4257.399,1.30640420402567e-06
4254.161,2.3551849122246812e-06
4238.66,7.24880987957046e-07
4249.667,2.662991674948955e-06
4259.443,3.282678087110529e-07
4271.63,1.1608861928320115e-06
4299.923,2.5414916252571475e-06
4279.206,2.0394309654087675e-05
4305.601,7.617623801642465e-07
4318.056,1.6170097868240168e-06
4308.027,5.452417183962828e-05
4311.286,1.8536705020000465e-06
4306.42,1.4996852713193857e-06
4313.2570000000005,5.540430945341197e-07
4311.19,3.052575462318162e-06
4310.536,1.0160382272108224e-05
4306.854,5.4249035343588775e-06
4307.096,3.2740845850032573e-06
4299.525,7.68988968671021e-07
4300.209,1.083774212188168e-06
4268.472,5.731969068840166e-11
4267.208,1.0619587869407008e-05
4282.06,1.8139124014343675e-06
4267.169,2.648974878654659e-06
4251.399,2.115292091154044e-06
4247.65,1.0373166875306982e-06
4271.755,1.5257597930194178e-06
4249.79,6.71229887045795e-06
4272.515,1.596181118451172e-06
4276.11,6.491008453948933e-06
4288.186,6.027423574964031e-06
4270.405,3.013553947647392e-07
4306.0779999999995,2.5277518223981224e-07
4326.501,2.3767496506759822e-06
4332.376,2.8424648516118463e-07
4353.766,5.126027101885696e-06
4339.598,4.177161588085523e-07
4333.163,3.7948874356720263e-06
4300.6759999999995,1.088470205176439e-06
4314.1140000000005,2.333040396080189e-05
4316.014,3.5828125959126205e-07
4321.686,6.510145244355882e-06
4324.482,1.3229031090918864e-06
4311.587,1.1161344731846708e-06
4328.282999999999,8.521267171190145e-06
4330.246,4.795843705613072e-07
4319.589,1.2493559359548462e-05
4337.57,3.921961913771594e-06
4343.663,4.986965565234456e-06
4361.19,2.3013372852448306e-06
4374.054,3.4397390388898117e-06
4383.633,6.051759795217395e-06
4408.9259999999995,1.0432233017342011e-06
4415.6140000000005,1.5247028851071848e-06
4411.899,7.022149813785531e-06
4419.07,3.2634092476916085e-06
4431.581,2.7725051819055428e-06
4449.792,2.0534111387349e-06
4440.093,6.217945540050556e-07
4444.271,4.5809112427039494e-07
